"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 21, 2020","8,496.85","8,533.00","8,567.30","8,496.85","372.73M","-0.42%"
"Oct 20, 2020","8,533.00","8,547.61","8,533.00","8,466.28","440.55M","-0.17%"
"Oct 19, 2020","8,547.61","8,560.81","8,581.55","8,531.23","377.31M","-0.15%"
"Oct 18, 2020","8,560.81","8,553.79","8,598.58","8,546.84","415.13M","0.08%"
"Oct 15, 2020","8,553.79","8,592.10","8,593.62","8,516.64","533.11M","-0.45%"
"Oct 14, 2020","8,592.10","8,610.38","8,613.59","8,577.34","543.23M","-0.10%"
"Oct 13, 2020","8,601.07","8,544.94","8,614.50","8,533.30","477.83M","0.66%"
"Oct 12, 2020","8,544.94","8,513.26","8,548.52","8,481.29","479.30M","0.37%"
"Oct 11, 2020","8,513.26","8,412.55","8,513.97","8,436.83","454.64M","1.20%"
"Oct 08, 2020","8,412.55","8,358.79","8,420.14","8,349.61","436.52M","0.64%"
"Oct 07, 2020","8,358.79","8,369.33","8,381.18","8,338.31","431.48M","-0.13%"
"Oct 06, 2020","8,369.33","8,257.67","8,369.33","8,249.48","482.53M","1.35%"
"Oct 05, 2020","8,257.67","8,177.76","8,257.67","8,095.88","505.84M","0.98%"
"Oct 04, 2020","8,177.76","8,295.05","8,287.97","8,177.76","496.82M","-1.41%"
"Oct 01, 2020","8,295.05","8,299.08","8,340.31","8,263.37","712.34M","-0.05%"
"Sep 30, 2020","8,299.08","8,284.34","8,312.54","8,272.59","542.69M","0.18%"
"Sep 29, 2020","8,284.34","8,334.65","8,360.93","8,284.34","627.75M","-0.60%"
"Sep 28, 2020","8,334.65","8,293.62","8,373.34","8,313.04","672.46M","0.49%"
"Sep 27, 2020","8,293.62","8,236.17","8,302.50","8,244.56","560.80M","0.70%"
"Sep 24, 2020","8,236.17","8,244.82","8,265.33","8,199.48","407.32M","-0.10%"
"Sep 22, 2020","8,244.82","8,291.35","8,287.44","8,213.14","407.81M","-0.56%"
"Sep 21, 2020","8,291.35","8,364.61","8,390.25","8,291.35","512.40M","-0.88%"
"Sep 20, 2020","8,364.61","8,337.88","8,376.83","8,332.59","439.64M","0.32%"
"Sep 17, 2020","8,337.88","8,311.21","8,339.29","8,279.64","519.54M","0.32%"
"Sep 16, 2020","8,311.21","8,321.74","8,377.97","8,290.20","593.96M","-0.13%"
"Sep 15, 2020","8,321.74","8,256.07","8,328.53","8,252.09","613.21M","0.80%"
"Sep 14, 2020","8,256.07","8,203.57","8,265.53","8,140.16","782.26M","0.64%"
"Sep 13, 2020","8,203.57","8,135.16","8,206.00","8,157.22","516.12M","0.84%"
"Sep 10, 2020","8,135.16","8,079.74","8,151.61","8,090.21","543.59M","0.69%"
"Sep 09, 2020","8,079.74","8,089.54","8,079.74","8,022.46","508.05M","-0.12%"
"Sep 08, 2020","8,089.54","8,050.14","8,103.94","8,054.74","529.05M","0.49%"
