Date,Price,Open,High,Low,Vol.,Change %
"Jun 29, 2020","7,758.25","8,225.29","8,161.12","7,610.29",361.96K,-5.68%
"Jun 28, 2020","8,225.29","7,923.86","8,421.55","7,615.66",489.06K,3.80%
"Jun 25, 2020","7,923.86","8,036.58","8,065.94","7,857.80",187.74K,-1.40%
"Jun 24, 2020","8,036.58","7,840.36","8,229.17","7,767.94",389.83K,2.50%
"Jun 23, 2020","7,840.36","8,027.97","8,011.95","7,684.09",188.16K,-2.34%
"Jun 22, 2020","8,027.97","8,097.03","8,092.14","7,699.13",271.33K,-0.85%
"Jun 21, 2020","8,097.03","8,659.33","8,986.48","7,904.32",531.89K,-6.49%
"Jun 18, 2020","8,659.33","9,495.97","9,531.02","8,584.56",643.45K,-8.81%
"Jun 17, 2020","9,495.97","9,174.00","9,495.97","8,891.99",526.97K,3.51%
"Jun 16, 2020","9,174.00","9,356.23","9,364.54","9,011.67",619.81K,-1.95%
"Jun 15, 2020","9,356.23","8,666.28","9,356.23","8,615.96",373.23K,7.96%
"Jun 14, 2020","8,666.28","8,221.81","8,695.05","8,173.80",617.65K,5.41%
"Jun 11, 2020","8,221.81","7,694.58","8,292.05","7,612.25",638.66K,6.85%
"Jun 10, 2020","7,694.58","8,175.14","8,176.12","7,562.46",564.47K,-5.88%
"Jun 09, 2020","8,175.14","8,231.46","8,242.90","8,169.27",417.64K,-0.68%
"Jun 08, 2020","8,231.46","7,578.43","8,277.28","8,006.64",818.37K,8.62%
"Jun 07, 2020","7,578.43","7,810.76","8,153.22","7,578.43",518.48K,-2.97%
"Jun 04, 2020","7,810.76","7,473.30","7,923.36","7,459.69",853.59K,4.52%
"Jun 03, 2020","7,473.30","7,377.99","7,641.21","7,343.29",1.22M,1.29%
"Jun 02, 2020","7,377.99","7,366.07","7,478.83","7,330.00",782.33K,0.16%
"Jun 01, 2020","7,366.07","7,124.76","7,572.28","7,106.81",1.22M,3.39%
"May 31, 2020","7,124.76","7,170.71","7,307.13","7,124.76",431.34K,-0.64%
"May 21, 2020","7,170.71","7,190.07","7,396.22","7,170.46",635.9K,-0.27%
"May 20, 2020","7,190.07","7,145.31","7,209.33","7,123.95",579.21K,0.63%
"May 19, 2020","7,145.31","7,202.31","7,175.37","7,096.69",725.59K,-0.79%
"May 18, 2020","7,202.31","7,185.78","7,236.92","7,106.43",1.43M,0.23%
"May 17, 2020","7,185.78","7,092.43","7,235.53","7,077.19",620.33K,1.32%
"May 14, 2020","7,092.43","6,723.99","7,098.12","6,645.46",974.61K,5.48%
"May 13, 2020","6,723.99","7,064.28","7,068.16","6,713.12",393.36K,-4.82%
"May 12, 2020","7,064.28","7,121.72","7,117.91","7,037.13",373.38K,-0.81%
"May 11, 2020","7,121.72","7,208.54","7,148.86","6,956.43",332.23K,-1.20%
"May 10, 2020","7,208.54","6,972.87","7,237.49","7,042.03",426.75K,3.38%
"May 07, 2020","6,972.87","7,126.72","7,169.42","6,914.19",134.52K,-2.16%
"May 06, 2020","7,126.72","7,106.81","7,247.29","7,100.04",182.68K,0.28%
"May 05, 2020","7,106.81","6,726.35","7,241.77","6,767.62",129.16K,5.66%
"May 04, 2020","6,726.35","6,631.05","6,899.55","6,574.13",218.73K,1.44%
"May 03, 2020","6,631.05","7,179.07","6,987.31","6,474.97",523.48K,-7.63%
"Apr 30, 2020","7,179.07","7,357.56","7,427.77","7,134.32",273.42K,-2.43%
"Apr 29, 2020","7,357.56","6,885.79","7,392.92","6,857.48",431.67K,6.85%
"Apr 28, 2020","6,885.79","7,440.15","7,170.63","6,867.40",1.25M,-7.45%
"Apr 27, 2020","7,440.15","7,873.66","7,861.67","7,137.67",758.02K,-5.51%
"Apr 26, 2020","7,873.66","7,716.36","7,956.43","7,699.92",308.54K,2.04%
"Apr 23, 2020","7,716.36","7,793.52","7,913.07","7,570.83",450.78K,-0.99%
"Apr 22, 2020","7,793.52","7,544.57","7,872.32","7,448.41",422.62K,3.30%
"Apr 21, 2020","7,544.57","7,462.86","7,557.35","6,873.45",700.22K,1.09%
"Apr 20, 2020","7,462.86","7,541.87","7,510.40","6,987.02",1.04M,-1.05%
"Apr 19, 2020","7,541.87","6,865.87","7,586.28","6,903.24",912.35K,9.85%
"Apr 16, 2020","6,865.87","6,546.29","6,865.87","6,289.99",477.57K,4.88%
"Apr 15, 2020","6,546.29","6,819.08","6,833.18","6,446.37",738.92K,-4.00%
"Apr 14, 2020","6,819.08","6,097.69","6,960.16","6,097.69",594.80K,11.83%
"Apr 13, 2020","6,097.69","6,082.55","6,211.71","6,051.07",307.99K,0.25%
"Apr 12, 2020","6,082.55","6,286.71","6,373.48","5,969.43",415.47K,-3.25%
"Apr 09, 2020","6,286.71","6,299.44","6,329.65","6,149.57",364.24K,-0.20%
"Apr 08, 2020","6,299.44","6,279.89","6,299.44","6,143.14",351.70K,0.31%
"Apr 07, 2020","6,279.89","5,972.07","6,294.58","5,928.24",461.56K,5.15%
"Apr 06, 2020","5,972.07","5,670.14","5,972.07","5,652.69",361.05K,5.32%
"Apr 05, 2020","5,670.14","5,936.52","5,997.69","5,626.67",263.13K,-4.49%
"Apr 02, 2020","5,936.52","5,626.02","5,936.52","5,588.36",458.37K,5.52%
"Apr 01, 2020","5,626.02","5,517.87","5,626.02","5,375.93",209.33K,1.96%
"Mar 31, 2020","5,517.87","5,516.83","5,894.99","5,421.93",568.32K,0.02%
"Mar 30, 2020","5,516.83","5,599.65","5,600.21","5,451.08",187.62K,-1.48%
"Mar 29, 2020","5,599.65","5,511.02","5,652.37","5,452.54",221.92K,1.61%
"Mar 26, 2020","5,511.02","5,288.17","5,525.23","5,288.17",198.87K,4.21%
"Mar 25, 2020","5,288.17","5,803.12","5,863.74","5,219.32",408.77K,-8.87%
"Mar 24, 2020","5,803.12","5,229.04","5,812.26","5,174.05",323.47K,10.98%
"Mar 23, 2020","5,229.04","5,593.98","5,622.99","5,198.11",295.70K,-6.52%
"Mar 22, 2020","5,593.98","5,925.76","5,915.89","5,372.25",343.02K,-5.60%
